url,label
theopportunitycollection.com,Safe
jwsurvey.org,Safe
http://microkool.com/Dropfile/index.php/,Malicious
water-data.com,Safe
habbo.com,Safe
http://45.79.80.86/public/silent_apk/1883/515036302285825__b8%3Aa3%3Ae0%3Afa%3A83%3Ac2__9294__v20140402/apk/2017/09,Malicious
digby.com,Safe
transferdirect.com,Safe
naturimgarten.at,Safe
rms.org.uk,Safe
thebeautykorea.com,Safe
singmuse.com,Safe
portalcorreio.com.br,Safe
mail-signatures.com,Safe
onlineantibiotic-flagyl.site,Safe
http://innvation.usa.cc/auth.php,Malicious
frsoinssante.com,Safe
lion-themes.com,Safe
disney.pl,Safe
dream-kite.ru,Safe
microvoip.com,Safe
sopia.or.jp,Safe
aerotoxic.org,Safe
telenovaragusa.it,Safe
http://www.giorgiovanni827.x10host.com/signin.php,Malicious
spaziotrecentosessanta.it,Safe
rtgphotoworks.com,Safe
go2l.ink/viewer,Phishing
wandeleur.com,Safe
bms-ultrasound.com,Safe
ebay.co.uk,Safe
arasit.co.uk,Safe
carmenbeauty.pl,Safe
crotrade.com,Safe
pterrys.com,Safe
hostinger.com,Safe
acmevisa.com,Safe
taxzone.com.au,Safe
napturallycurly.com,Safe
mobypicture.com,Safe
gowplus.ga/u/@@%23!!/,Phishing
ritonacionalmexicano.org,Safe
themecanon.net,Safe
phily.xyz,Safe
erectiledysfunctiondrugs365.net,Safe
traveler-tip.com,Safe
ci-portal.de,Safe
nbport.com.cn,Safe
eleron.it,Safe
comersus.com,Safe
idiotygenii.com,Safe
ilools.com,Safe
nol.hu,Safe
jgrisham.com,Safe
aatec.com.au,Safe
xpra.org,Safe
polymerclayexpress.com,Safe
xn--80abgcildubikxotno.xn--p1ai,Safe
techfrag.com,Safe
smexybooks.com,Safe
scotiabank.ca.34-mls-34-bsw-11.com/s/,Phishing
shtory-dmitrov.ru,Safe
delock.com,Safe
wacoal.co.jp,Safe
http://travel.thomascook.com/?SS6i4u2Kmf5MvX1Y0HNEWfoSsJlsTgdUS,Unsafe click
smashcompany.com,Safe
brasilianguidelondon.com,Safe
szcatv.com.cn,Safe
gsi.ie,Safe
shepway.gov.uk,Safe
lnsbigdata.cn,Safe
heritageisland.com,Safe
wuhanxie.com,Safe
nozomi-th.com,Safe
raunharman.net,Safe
dentistgarstang.co.uk/wp-admin/meta/netlog/,Phishing
regenbogen-forsbach.de,Safe
splubatowa.pl,Safe
tapasrevolution.com,Safe
werkenbijdefensie.nl,Safe
mirror-monitor.ru,Safe
sonriendoalviento.es,Safe
byb.cn,Safe
dietmoinhanhvn.com,Safe
diaforetiko.gr,Safe
burgenland.info,Safe
carcredit.de,Safe
purchasecanada-cialis.net,Safe
luftwaffe.cz,Safe
busseltonjetty.com.au,Safe
tigi.com,Safe
webservicex.net,Safe
lanpengeonline.eu,Safe
kentatsu-climate.ru,Safe
hipeac.net,Safe
siamloka.com,Safe
hireachef.com.au,Safe
bajo.pl,Safe
zetset.net,Safe
cocktailmedia.org,Safe
peregrinos.org.bo,Safe
excelps.org,Safe
marxadelordi.cat,Safe
guidocarucci.com,Safe
bobgeldof.info,Safe
startupinternetmarketing.com,Safe
ylrb.com.cn,Safe
cgfordparts.com,Safe
print-fair.net,Safe
tlctugger.com,Safe
muyang.com,Safe
picaro.co.il,Safe
aolpress.com,Safe
auroracoin.org,Safe
bir.gov.ph,Safe
dekoflor.com.pl,Safe
https://www.letterpeoples.com/wp-includes/Requests/Auth/socs/bc3094d9c752df8e9e09fe6cd5262c6bac00a0096f9fd6bc88f27a9cae460300545541d8246262ed78360f73327ab324/AlibabaT/Alibaba/safeguardyouraccountsecurity.php?email=abuse@hotmial.com,Malicious
adidas-uk.org.uk,Safe
sprayfoamrepair.com,Safe
https://wncs.org/FILES/2131SDVRHY5HTGFDERTHJ7I8OIUJHFSDFS/DAWN,Malicious
yogichopra.com,Safe
tenis-stepanek.cz,Safe
alienvalley.com,Safe
jazzweekly.com,Safe
auto-viger.be,Safe
http://fegrfgr.usa.cc/doc/Office22/360%203/,Malicious
eifelverein-zweifall.de,Safe
kuaichec.com,Safe
marlette.fr,Safe
vivrefm.com,Safe
rarerims.co.uk,Safe
http://tidbits.com/article/17522#comments,Safe
web-php.de,Safe
veer-enterprises.com,Safe
immediateluck.racing/country/austria,Phishing
cheapncaajerseyswholesale.com,Safe
1-property.ru,Safe
citilink.com,Safe
cnkly.com,Safe
massevolution.it,Safe
http://www.paciellogroup.com/blog/2015/03/current-standards-work-at-w3c/,Safe
copenhagenliving.com,Safe
bexqwavx.net,Safe
pantalina.com,Safe
http://www.carscoops.com/2017/10/electric-porsche-mission-e-benchmarked.html,Safe
bagsoutletsky.com,Safe
aktion-sauberehaende.de,Safe
codenscripts.com,Safe
estetika2015.ru,Safe
s4h.sk,Safe
http://www.dw.com/image/41016950_11.jpg,Safe
c029.com,Safe
52dopod.net,Safe
epica.nl,Safe
spprint.ru,Safe
hainei.com,Safe
fosyx.com,Safe
redherring.com,Safe
leedsworld.com,Safe
workindenmark.dk,Safe
meteoprog.pl,Safe
direst.ru,Safe
chebakov.ru,Safe
themightychallenge.com,Safe
rstforums.com,Safe
litmir.net,Safe
dveri-ykt.ru,Safe
winmag.info,Safe
track.affiliate-b.com,Safe
bluesblastmagazine.com,Safe
perfekt-school.pl,Safe
monaghan.ie,Safe
composicion-musical.com,Safe
dispokraft.com,Safe
moneypages.com,Safe
toopoo.com,Safe
borla.co.uk,Safe
prettygossip.com,Safe
hardened-pumps.000webhostapp.com/english/crypt/,Phishing
furosemidelasix-online.mobi,Safe
learnnext.com,Safe
moving-image.info,Safe
kimgraf.it,Safe
vik9s.org,Safe
mellat-design.ir,Safe
heartoftitus.org,Safe
24writer.com,Safe
barricksinsurance.com,Safe
qmail.com,Safe
heitzcellar.biz,Safe
board.com.ua,Safe
southerntravelsindia.com,Safe
https://groups.google.com/a/great-lakes.net/d/msgid/birders/7486C345291D454087CC576F1871BF0492FF4C86@A0185-XPO1025-C.ad.allstate.com?utm_medium=email&utm_source=footer,Unsafe click
windjammer-landing.com,Safe
elysiumsubs.com,Safe
gigabyte.de,Safe
notjustpaperandpaint.com,Safe
universityhealthsystem.com,Safe
serverdata.com,Safe
gamescap.com,Safe
69sdh.xyz,Safe
ivanview.com,Safe
http://www.mitutoriais.com.br/wp-content/uploads/2015/12/COMO-BURLAR-O-BLOQUEIO-DE-48-HORAS-DO-WHATSAPP-E-USAR-O-APP-NORMALMENTE.png,Malicious
moeruasia.net,Safe
http://autoselec.es/blog/red.html,Malicious
jac-recruitment.jp,Safe
kethea.gr,Safe
foodworldnews.com,Safe
cialis4coupon.us,Safe
800amalarm.com,Safe
fthp.org.uk,Safe
lenox.com,Safe
bestbathstore.com,Safe
genealogia.fi,Safe
asxinsights.com,Safe
istitutosacramentine.it,Safe
farmerboyag.com,Safe
jadeyoga.com,Safe
catalystv.com,Safe
ajpadilla.com,Safe
laynetworks.com,Safe
stromectol7.top,Safe
iloveseo.net,Safe
inworfprogramms.ru,Safe
https://www.otrs.com/kunden/success-stories/?lang=de&utm_id=1034,Unsafe click
dad-stuff.com,Safe
opal.com.au,Safe
nikesneakers.ch,Safe
canadapharmacy24houradrugstore.ru,Safe
electropeople.org,Safe
pokersilang.com,Safe
personalcarminas.com.br,Safe
opusklassiek.nl,Safe
google-scraps.us,Safe
https://drive.google.com/file/d/1ybYIwCLqwW2fzSPJchVE10FkPKzVdupH/view?usp=sharing,Malicious
antifalter.com,Safe
taohuren.com,Safe
dnr-news.com,Safe
solidarity-us.org,Safe
allabouttrh.com,Safe
mddnnps.com,Safe
nhinet.org,Safe
highonadventure.com,Safe
comicsanscriminal.com,Safe
steelsoldiers.com,Safe
st-c.co.jp,Safe
pepsicoindia.co.in,Safe
zelxbox.ru,Safe
addison.de,Safe
bet12000.com,Safe
http://techlawcentral.com/DropWealth02/straighdropbox/,Malicious
lp3i.ac.id,Safe
wsvwolfram.at,Safe
rustysoffroad.com,Safe
click2mail.com,Safe
rxviagranoprescription.com,Safe
5i5j.com,Safe
cortessismedical.gr,Safe
yha.org.uk,Safe
deto.info,Safe
booska-p.com,Safe
epigraph.info,Safe
chemchina.com,Safe
erzeszow.pl,Safe
https://4331910c-a-62cb3a1a-s-sites.googlegroups.com/site/alialohily,Malicious
pocsdude.com,Safe
ramset.com,Safe
brainnu.ru,Safe
korea.com,Safe
bluestraveler.com,Safe
mvv27.nl,Safe
robitronic.com,Safe
pitbulworld.com,Safe
swissdiamond.com,Safe
cedar-log-homes.com,Safe
seosagar.com,Safe
1yy.cc,Safe
sontungmtp.biz,Safe
tsar-gorod.ru,Safe
skyscraper.org,Safe
rockymountnc.gov,Safe
talladega.com,Safe
paximax.ru,Safe
nightshift.co,Safe
ddcyz.com,Safe
eventflooring.co.za,Safe
"93.158.239.28/m=weblogin/loginform.ws423,392,276,44273455,28",Phishing
fourtipsyfive.com/media/3/pulse/A/0/js/cibc/question.htm,Phishing
kadow.de,Safe
online-apotheke-europe.com,Safe
kulturpumpe.de,Safe
inmobiliaria.com,Safe
belaruskuhni.ru,Safe
homedecorideass.xyz,Safe
processtext.com,Safe
snjb.fr,Safe
wbb8hm4ik5wv3.com,Safe
actonedancecompany.org,Safe
musasa.co.zw,Safe
lcloud-sign.me,Phishing
in2toeflstudycenter.com,Safe
miu.ac.ir,Safe
madrasehonline.ir,Safe
"link.post.universarium.org/msbt/322116,lpp-N2feNAdqe4_WqdtVIw/26320,102695064,1363914,235?aHR0cHM6Ly9iaXQubHkvMkx2RWhNWg==",Phishing
propecia.science,Safe
dlsu.edu.ph,Safe
harrispollonline.com,Safe
integrationsministerium-bw.de,Safe
despacho22.com,Safe
http://ebird.org/ebird/view/checklist/S39865184,Safe
eznews.cn,Safe
fbgamescheats.net,Safe
www.vi,Safe
port25.govisibl.com/dlv/c.php?cca=28226&ccz=1172&click_id=aff_5bf2aaea53d8576ace21c78f&siteid=488_0,Phishing
celebritygossip.com,Safe
scorpionusa.com,Safe
korabox.ru,Safe
quantummuse.com,Safe
chinafpa.org.cn,Safe
apfdigital.com.ar,Safe
caffelena.org,Safe
hatarcsarda.com,Safe
bu1u.com,Safe
collegeonline.org,Safe
ihokuw.ru,Safe
arabiannightsafari.com,Safe
ukpaydayloanstj.co.uk,Safe
dominiomundial.com,Safe
nationalcity.com,Safe
super-photography.co.uk,Safe
help.apple.support.question.systems/?16shop,Phishing
pei.org,Safe
davidzwirner.com,Safe
bassem.com,Safe
soleeast.com,Safe
montblancpensoutlet.com.co,Safe
weirdal.com,Safe
http://wezatv.com/,Malicious
skorcomblik.ru,Safe
berger-levrault.fr,Safe
tegretol.reisen,Safe
http://facturaste.com/msd/,Malicious
v.ly,Safe
40ouncebeer.com,Safe
embo-embl-symposia.org,Safe
https://static2.timeout.co.il/misc/index_images/44/84844_680x382.jpg?cache=1507049213681,Unsafe click
websitesthatsell.com.au,Safe
universal-limousine.fr,Safe
trendbeheer.com,Safe
http://kranskotaren.se/wordpress/wp-content/log/host/host/verification.php,Malicious
cialisdcfev.com,Safe
pantalonescortos.es,Safe
kenenisa-hotel.com,Safe
yaowenhua.com.cn,Safe
http://www.conception-electronique.net/easy-photo,Malicious
photomontager.com,Safe
4thandmainauto.com,Safe
imec-archives.com,Safe
mostra.org,Safe
alpolic.ru,Safe
thebigday.com,Safe
sunshineandsippycups.com,Safe
loginsys.com.mk,Safe
fltatianarestaurant.com,Safe
iberglobal.com,Safe
hacker-newbie.org,Safe
fileslink.com,Safe
hagaren.jp,Safe
divesport-muerztal.at,Safe
flybussen.no,Safe
lbo-news.com,Safe
jerseymanchesterunitedsoccer.com,Safe
redmooncn.cn,Safe
jordangrimaux.com,Safe
smic.edu.cn,Safe
uvigo.gal,Safe
loccer.bplaced.net/blackhole/ASEAG/Linien/Lagepl%25252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525252525,Phishing
arbolit54.ru,Safe
https://aryahotel.com/core/.index.html?,Malicious
icloud.com-viewerlocations.in,Phishing
israel-catalog.com,Safe
hellodirect.com,Safe
yasos.net,Safe
https://churchillpublicadjusters.com/churchill-scholarship/,Malicious
princepalace.co.th,Safe
kamagra100.es,Safe
canadapharmaciesonlinebsl.bid,Safe
modjourn.org,Safe
cityofsebastian.org,Safe
mynameisjordan.com,Safe
apirajasthan.org/data1/tooltips/-/fonts/com.au/-/reply/email/au/process/-/reminder/billing/20a61d15ffacdea9c59b777dd10a32/-/-/,Phishing
inzerciakosice.sk,Safe
smallhomesoul.com,Safe
royal-canin.ru,Safe
dokkyo.ac.jp,Safe
iadh-aihr.org,Safe
tunisair.com,Safe
arbitr.gov.ua,Safe
coachoutletstoreonline.com.co,Safe
hoteismabu.com.br,Safe
celebrex.mba,Safe
amerejuve.com,Safe
alim-kr.co/cgi-sys/suspendedpage.cgi,Phishing
mrame.net,Safe
2d-3d.ru,Safe
xn--3-dtb9al6c.xn--p1ai,Safe
mylegist.com,Safe
newwest.net,Safe
sportgalazeewolde.nl,Safe
mydawaai.com,Safe
buy-ventolin.store,Safe
bouwfonds.nl,Safe
silveysports.com,Safe
gabar.org,Safe
vhgroup.com.sg,Safe
altairnano.com,Safe
lyrical-lao.com,Safe
